EditorYear	EdiPercent	Cohort
4	0.0	4
5	0.0	4
-4	0.0	4
-3	0.0	4
-2	0.0	4
-1	0.0	4
0	0.0	4
1	0.5	4
1	1.0	4
2	0.0	4
3	1.0	4
4	0.0	4
5	0.0	4
-4	0.0	4
-3	0.0	4
-2	0.0	4
-1	0.0	4
0	0.0	4
1	0.8214285714285714	4
2	0.23809523809523808	4
-2	0.0	4
1	0.75	4
2	0.0	4
3	0.0	4
4	0.0	4
5	0.0	4
1	0.6	4
1	0.5	4
-2	0.0	4
-1	0.0	4
0	0.0	4
1	1.0	4
-4	0.0	4
-3	0.0	4
-2	0.0	4
-1	0.0	4
1	0.0	4
2	1.0	4
-4	0.0	4
-3	0.0	4
1	0.75	4
2	0.0	4
1	0.0	4
2	0.0	4
3	1.0	4
1	1.0	4
2	0.75	4
3	0.0	4
4	0.5	4
-3	0.0	4
-2	0.0	4
-1	0.0	4
0	0.0	4
1	0.5	4
-4	0.0	4
-3	0.0	4
-2	0.0	4
-1	0.0	4
0	0.0	4
1	0.6666666666666666	4
-4	0.0	4
-3	0.0	4
-2	0.0	4
-1	0.0	4
0	0.0	4
1	0.0	4
2	1.0	4
1	0.5	4
2	0.0	4
1	1.0	4
2	0.0	4
-4	0.0	4
-2	0.0	4
-1	0.0	4
0	0.0	4
1	1.0	4
2	0.3333333333333333	4
3	1.0	4
4	0.25	4
5	1.0	4
-4	0.0	4
-3	0.0	4
-2	0.0	4
-1	0.0	4
0	0.0	4
1	0.5	4
2	0.0	4
3	1.0	4
-3	0.0	4
-2	0.0	4
-1	0.0	4
0	0.0	4
1	0.0	4
2	1.0	4
3	0.0	4
4	0.0	4
5	0.0	4
-4	0.0	4
-3	0.0	4
-2	0.0	4
-1	0.0	4
0	0.0	4
1	0.0	4
2	0.75	4
3	0.0	4
4	0.75	4
5	0.0	4
-4	0.0	4
-3	0.0	4
-2	0.0	4
-1	0.0	4
0	0.0	4
1	0.6666666666666666	4
2	0.6153846153846154	4
3	0.7777777777777778	4
4	0.6111111111111112	4
5	0.6666666666666666	4
1	1.0	4
2	1.0	4
3	0.0	4
4	1.0	4
5	0.0	4
1	0.0	4
2	0.0	4
3	0.5	4
4	0.0	4
5	0.6666666666666666	4
-4	0.0	4
-3	0.0	4
-2	0.0	4
-1	0.0	4
0	0.0	4
1	0.0	4
2	0.0	4
3	1.0	4
4	0.0	4
5	0.0	4
1	0.0	4
2	1.0	4
3	0.0	4
4	0.0	4
5	0.0	4
1	0.0	4
2	0.0	4
3	0.5	4
-4	0.0	4
-3	0.0	4
1	0.5	4
-4	0.0	4
-3	0.0	4
1	0.5	4
1	0.5	4
2	0.0	4
3	0.5	4
-3	0.0	4
-2	0.0	4
-1	0.0	4
0	0.0	4
1	0.3333333333333333	4
2	1.0	4
3	0.5	4
4	0.6363636363636364	4
5	0.0	4
-4	0.0	4
-3	0.0	4
-2	0.0	4
-1	0.0	4
0	0.0	4
1	0.5	4
-3	0.0	4
-2	0.0	4
-1	0.0	4
0	0.0	4
1	0.0	4
2	0.0	4
3	0.0	4
4	1.0	4
5	0.0	4
-1	0.0	4
0	0.0	4
1	1.0	4
2	0.0	4
3	0.0	4
4	0.0	4
5	1.0	4
-4	0.0	4
-3	0.0	4
1	0.5	4
2	1.0	4
3	0.0	4
4	1.0	4
5	1.0	4
-4	0.0	4
-3	0.0	4
-2	0.0	4
-1	0.0	4
0	0.0	4
1	1.0	4
2	1.0	4
1	1.0	4
2	0.0	4
3	0.0	4
4	1.0	4
5	0.0	4
1	1.0	4
2	0.0	4
3	0.0	4
4	0.0	4
-3	0.0	4
-2	0.0	4
-1	0.0	4
0	0.0	4
1	1.0	4
2	0.0	4
1	1.0	4
2	1.0	4
3	0.0	4
4	0.0	4
-1	0.0	4
0	0.0	4
1	1.0	4
2	0.0	4
3	0.0	4
4	0.5	4
1	1.0	4
2	0.0	4
3	1.0	4
4	0.0	4
5	0.0	4
-4	0.0	4
-3	0.0	4
-2	0.0	4
-1	0.0	4
0	0.0	4
1	0.5333333333333333	4
2	0.4782608695652174	4
1	0.0	4
2	1.0	4
3	0.0	4
4	0.0	4
5	0.0	4
1	1.0	4
-4	0.0	4
-3	0.0	4
-2	0.0	4
