EditorYear	AutPercent	Cohort
-4	0.0	4
-3	0.0	4
-2	0.0	4
-1	0.0	4
0	0.0	4
1	0.0	4
2	0.0	4
3	0.0	4
4	0.0	4
5	0.0	4
-5	0.0	4
-4	0.0	4
-3	0.0	4
-2	0.0	4
-1	0.0	4
0	0.0	4
1	0.0	4
2	0.0	4
3	0.0	4
4	0.0	4
5	0.0	4
-4	1.0	4
-3	0.0	4
-2	1.0	4
-1	0.6666666666666666	4
0	0.0	4
1	0.0	4
2	1.0	4
3	0.0	4
4	0.0	4
5	0.0	4
-5	0.0	4
-4	0.0	4
-3	0.0	4
-2	0.0	4
-1	0.0	4
0	0.0	4
1	0.0	4
2	0.0	4
3	0.0	4
4	0.02666666666666667	4
5	0.0	4
-5	0.0	4
-4	0.0	4
-3	0.0	4
-2	0.0	4
-1	0.0	4
0	0.0	4
1	0.0	4
2	0.0	4
3	0.0	4
4	0.0	4
5	0.0	4
0	0.0	4
1	0.0	4
2	0.0	4
3	0.0	4
4	0.0	4
-5	0.11538461538461539	4
-4	0.13043478260869565	4
-3	0.0	4
-2	0.3333333333333333	4
-1	0.15492957746478872	4
0	0.0	4
1	0.0	4
2	0.0	4
3	0.0	4
4	0.0	4
5	0.0	4
-5	0.0	4
-4	0.0	4
-3	0.0	4
-2	0.0	4
-1	0.0	4
0	0.0	4
1	0.0	4
2	0.0	4
3	0.0	4
4	0.0	4
5	0.0	4
-5	0.0	4
-4	0.0	4
-3	0.0	4
-2	0.0	4
-1	0.0	4
0	0.5	4
1	0.0	4
2	0.0	4
3	0.0	4
4	0.0	4
5	0.0	4
0	0.0	4
1	0.0	4
2	0.0	4
3	0.0	4
4	0.0	4
-5	0.0	4
-4	0.0	4
-3	0.0	4
-2	0.0	4
-1	0.0	4
0	0.0	4
1	0.0	4
2	0.0	4
3	0.0	4
4	0.0	4
5	0.0	4
-5	0.2972972972972973	4
-4	0.17391304347826086	4
-3	0.2962962962962963	4
-2	0.0	4
-1	0.0	4
0	0.0	4
1	0.0	4
2	0.0	4
3	0.0	4
4	0.0	4
5	0.01694915254237288	4
-5	0.5909090909090909	4
-4	0.4090909090909091	4
-3	0.5	4
-2	0.0	4
-1	0.0	4
0	0.0	4
1	0.0	4
2	0.20967741935483872	4
3	0.2653061224489796	4
4	0.4727272727272727	4
5	0.0	4
-5	0.5	4
-4	0.5	4
-3	0.0	4
-2	0.0	4
-1	1.0	4
0	0.0	4
1	0.0	4
2	0.5	4
3	0.3333333333333333	4
4	0.0	4
5	0.0	4
-3	1.0	4
-2	0.0	4
-1	0.0	4
0	0.0	4
1	0.0	4
2	0.0	4
-5	0.0	4
-4	0.0	4
-3	0.0	4
-2	0.0	4
-1	0.0	4
0	0.0	4
1	0.0	4
2	0.0	4
3	0.0	4
4	0.0	4
5	0.0	4
-5	0.0	4
-4	0.0	4
-3	0.0	4
-2	0.0	4
-1	0.0	4
0	0.0	4
1	0.0	4
2	0.0	4
3	0.0	4
4	0.5	4
5	0.0	4
-4	0.0	4
-3	0.0	4
-2	0.0	4
-1	0.0	4
0	0.0	4
1	0.0	4
2	0.0	4
3	0.0	4
4	0.0	4
