EditorYear	EdiPercent	Cohort
3	0.0	4
4	0.0	4
5	0.0	4
-1	0.0	4
-5	0.0	4
-4	0.0	4
-3	0.0	4
-2	0.0	4
-1	0.8	4
0	0.0	4
1	0.0	4
2	1.0	4
3	0.75	4
4	0.0	4
5	1.0	4
0	0.0	4
1	0.6	4
2	0.0	4
3	0.0	4
4	0.0	4
5	0.0	4
-5	0.4	4
-4	0.2727272727272727	4
-3	0.5	4
-2	0.0	4
-1	0.1	4
0	0.0	4
1	0.5	4
2	0.25	4
3	0.0	4
4	0.16666666666666666	4
5	0.2	4
-5	0.0	4
-4	0.25	4
-3	0.0	4
-2	0.3333333333333333	4
-1	0.0	4
0	0.0	4
1	0.3333333333333333	4
2	1.0	4
3	0.5	4
4	0.6363636363636364	4
5	0.0	4
-5	0.0	4
-4	0.0	4
-3	0.0	4
-2	0.0	4
-1	0.0	4
0	0.0	4
1	1.0	4
2	0.6	4
3	0.6	4
4	0.7142857142857143	4
5	1.0	4
-5	0.0	4
-4	0.0	4
-3	1.0	4
-2	0.0	4
-1	0.0	4
0	0.0	4
1	0.3333333333333333	4
2	0.5	4
3	0.75	4
4	1.0	4
5	0.0	4
-5	0.0	4
-4	0.0	4
-3	0.0	4
-2	0.0	4
-1	0.0	4
0	0.0	4
1	1.0	4
2	1.0	4
3	0.0	4
4	0.0	4
5	0.0	4
-5	0.0	4
-4	0.0	4
-3	0.0	4
-2	0.0	4
-1	0.0	4
0	0.0	4
1	1.0	4
2	0.0	4
3	0.0	4
4	0.0	4
5	0.0	4
-5	0.0	4
-4	0.0	4
-3	0.0	4
-2	0.0	4
-1	0.0	4
0	0.0	4
1	1.0	4
2	0.0	4
3	0.0	4
-5	0.0	4
-4	0.0	4
-3	1.0	4
-2	0.0	4
-1	0.0	4
0	0.0	4
1	0.5	4
2	0.0	4
3	0.0	4
4	1.0	4
5	0.5	4
-5	0.0	4
-4	0.0	4
-3	0.0	4
-2	0.0	4
-1	0.0	4
0	0.0	4
1	0.5	4
2	0.5	4
3	1.0	4
4	0.0	4
5	0.0	4
-5	0.0	4
-4	0.0	4
-3	0.25	4
-2	0.0	4
-1	0.0	4
0	0.0	4
1	0.5	4
2	0.0	4
3	0.0	4
4	0.4	4
5	0.0	4
-5	0.3	4
-4	0.25	4
-3	0.0	4
-2	1.0	4
-1	0.3333333333333333	4
0	0.0	4
1	0.8571428571428571	4
2	0.8	4
3	0.5	4
4	0.25	4
5	0.0	4
-5	0.0	4
-4	0.0	4
-3	0.0	4
-2	0.0	4
-1	0.0	4
0	0.0	4
1	0.5	4
2	0.0	4
3	0.0	4
4	0.0	4
5	0.0	4
-5	0.0	4
-4	0.0	4
-3	0.0	4
-2	0.0	4
-1	0.0	4
0	0.0	4
1	1.0	4
2	1.0	4
3	0.0	4
4	0.0	4
5	1.0	4
-1	0.0	4
0	0.0	4
1	1.0	4
2	0.0	4
3	0.5	4
4	0.0	4
5	1.0	4
-2	0.0	4
-3	0.0	4
-4	0.0	4
-5	0.0	4
-4	1.0	4
-3	1.0	4
-2	1.0	4
-1	1.0	4
0	0.0	4
1	1.0	4
2	0.0	4
3	1.0	4
4	0.0	4
5	0.0	4
-5	0.0	4
-4	0.0	4
-3	0.0	4
-2	0.0	4
-1	0.0	4
0	0.0	4
1	1.0	4
2	0.6666666666666666	4
3	0.4	4
4	0.0	4
5	0.25	4
-5	0.6666666666666666	4
-4	0.0	4
-3	0.3333333333333333	4
-2	0.0	4
-1	0.0	4
0	0.0	4
1	0.5	4
2	0.0	4
3	0.0	4
4	0.0	4
5	0.0	4
-5	0.6666666666666666	4
-4	0.0	4
-3	0.0	4
-2	0.0	4
-1	0.0	4
0	0.5	4
1	0.5	4
2	0.5	4
3	0.6666666666666666	4
4	0.5	4
5	0.5	4
-5	0.0	4
-4	0.0	4
-3	0.18181818181818182	4
-2	0.2222222222222222	4
-1	0.1111111111111111	4
