EditorYear	PeerPercent	Cohort
3	0.125	4
4	0.4	4
5	0.32142857142857145	4
-4	0.5	4
-2	0.25	4
-1	0.1875	4
0	0.17647058823529413	4
1	0.4117647058823529	4
2	0.4166666666666667	4
3	0.6842105263157895	4
4	0.5	4
5	0.25	4
-4	0.2	4
-3	0.16666666666666666	4
-2	0.37254901960784315	4
-1	0.2857142857142857	4
0	0.2127659574468085	4
1	0.21153846153846154	4
2	0.3409090909090909	4
3	0.25	4
-3	0.3	4
-2	0.5714285714285714	4
-1	0.625	4
0	0.375	4
1	0.21428571428571427	4
2	0.5	4
1	0.0	4
2	0.3333333333333333	4
3	0.125	4
4	0.0425531914893617	4
5	0.2222222222222222	4
