	affiliation	affiliationMag	if_same
1844	department of engineering science, oxford university rilouvldv amsterdam - lausanne - new york - oxford - shannon - tokyo	university of oxford	1.0
1845	department of engineering science, oxford university jc'l-iojcfvljblv amsterdam - lausanne - new york - oxford - shannon - tokyo	university of oxford	1.0
1846	department of engineering science, oxford university jblojbvl.b.k. amsterdam - lausanne - new york - oxford - shannon - tokyo	university of oxford	1.0
1847	department of chemical & process engineering university of newcastle newcastle upon tyne nei 7ru, uk	newcastle university	1.0
1848	university of california, usa	university of california santa cruz	1.0
1849	department of chemical & process engineering universitt2of newcastle newcastle upon tyne nei 7ru, uk	university of newcastle	1.0
1850	university of california, usa	university of california san francisco	1.0
1851	automatic control laboratory, university of ghent, belgian institute for automatic control, antwerp, belgium	ghent university	1.0
1852	department of chemical & process engineering university of newcastle newcastle upon tyne n'e1 7ru, uk	newcastle university	1.0
1853	city university, hong kong	city university of hong kong	1.0
1854	milan polytechnic, milan, italy	polytechnic university of milan	1.0
1855	milan polytechnic, milan italy	polytechnic university of milan	1.0
1856	department of civil engineering, washington university, st louis, mo 63130, usa	washington university in st louis	1.0
1857	department of civil & environmental engineering, imperial college of science, technology & medicine, imperial college road, london sw7 2bu, uk	imperial college london	1.0
1858	queen's university, belfast, uk	queen s university belfast	1.0
1859	umvers,ty of nottingham, uk	university of nottingham	1.0
1860	queen's university belfast, uk	queen s university belfast	1.0
1861	department of civil engineering, queen's university, belfast bt7 1 nn, northern ireland	queen s university belfast	1.0
1862	faculte polytechnic de mons, mons, belgium	faculte polytechnique de mons	1.0
1863	department of civil engineering, queen's university belfast bt7 1nn, uk	queen s university belfast	1.0
1864	university of cahforma berkeley, ca, usa	university of california berkeley	1.0
1865	city university, school of engineering, london, uk	city university london	1.0
1866	department of civil engineering, queen's university, belfast bt7 1nn, northern ireland	queen s university belfast	1.0
1867	univ. of twente, enschede, the netherlands	university of twente	1.0
1868	technion-lsrael insritute of technology, technion city, haifa, israel	technion israel institute of technology	1.0
1869	univ. of michigan, ann arbor, mich., usa	university of michigan	1.0
1870	univ. of new mexico, albuquerque. nm, u.sa, e. kreindler tachnionlevel institute of technology, tachnion city, helle, israel	university of new mexico	1.0
1871	univ. of minnesota, minneapolis, minn., u.s.a. h. kindler technische universit~t, dresden, german democratic republic petar kokotovid univ. of illinois, usa	university of minnesota	1.0
1872	univ. of the negev, p.o.b.psom, ben-gurion, beer-sheva, israel	ben gurion university of the negev	1.0
1873	univ. of the witwatersrand, johannesburg, south africa	university of the witwatersrand	1.0
1874	univ, of new mexico, alburqueklue, new mexico, usa	university of new mexico	1.0
1875	univ of toronto, toronto, canada	university of toronto	1.0
1876	"univ. di roma ""la sapienza"", rome, italy"	sapienza university of rome	1.0
1877	univ. of the negev, beer-sheva, israel	ben gurion university of the negev	1.0
1878	nat'l univ. of singapore, singapore	national university of singapore	1.0
1879	univ. of new mexico, alburquerque, new mexico, usa	university of new mexico	1.0
1880	technion-isreel institute of technology, technion city, hefts, israel	technion israel institute of technology	1.0
1881	vrije universiteit b	vrije universiteit brussel	1.0
1882	univ. of toronto, toronto, canada	university of toronto	1.0
1883	univ. of the negev, p.o.b.2053, ben-gurion, beer-sheva, israel	ben gurion university of the negev	1.0
1884	the untversity of birmingham, school of civil engineering, birmingham. uk	university of birmingham	1.0
1885	faculty of engineering. untversrty of regina. canada	university of regina	1.0
1886	department of chemical engineering, escola daeur(tm)enginyeria, universitat autnoma de barcelona, 08193-bellaterra, barcelona, spain	autonomous university of barcelona	1.0
1887	department of chemical engineering, escola d'enginyeria, universitat autnoma de barcelona, 08193-bellaterra, barcelona, spain	autonomous university of barcelona	1.0
1888	"universita di napoli ""federico ii"", napoli, italy"	university of naples federico ii	1.0
1889	institute of biochemistry, universdy of graz austria	university of graz	1.0
1890	department of biology, southwest texas state u niversity, san marcos, tx 78666-4616, usa	texas state university	1.0
1891	department of poultry science, texas a & m university, college station, tx 77483-2472, usa	texas a m university	1.0
1892	department of biokinetics, moscow state umvelsttv us	moscow state university	1.0
1893	tnsl~tule of biochemistry unlversrty of graz. austna m. r. evans imperial chemical induslttes pie. bnxham. devon, uk	university of graz	1.0
1894	department of b~okinebcs, moscow state universdy, us	moscow state university	1.0
1895	department of forestry. umverslty of aberdeen, uk	university of aberdeen	1.0
1896	department of agricultural engineering, university of newcastle upon tyne, uk	newcastle university	1.0
1897	department of agricultural engineering university of newcastle upon tyne uk	newcastle university	1.0
1898	chinese academy of sciences, nanjing, china	chinese academy of fishery sciences	1.0
