	original	normalized
449	editorial board/wissenschaftlicher beirat	editorial board/wissenschaftlicher beirat
450	editorial office/redaktionsassistenz	editorial office/redaktionsassistenz
451	director of publications	director of publications
452	senior managing editor	senior managing editor
453	associate editors-in_chief	associate editor in_chief
454	vice-chairmen	vice chairmen
455	publication assistant	publication assistant
456	advisory committee	advisory committee
457	regional editor (north america)	regional editor (north america)
458	trainee editorial board members	trainee editorial board member
459	youth editorial committee	youth editorial committee
460	news and opinions editor	news and opinions editor
461	editora / editor-in-chief	editora / editor in chief
462	editores asociados / associate editors	editores asociados / associate editor
463	executive associate editor-in-chief	executive associate editor in chief
464	vice-chairman	vice chairman
465	board of editors	board of editor
466	special content editor	special content editor
467	associate editors, europe	associate editor, europe
468	associate editors, asia/australia/rest of world	associate editor, asia/australia/rest of world
469	associate editors, the americas	associate editor, the americas
470	editor-in-chief / director	editor in chief / director
471	deputy editor / jefe de redacción	deputy editor / jefe de redacción
472	executive editor / secretario de redacción	executive editor / secretario de redacción
473	young members	young member
474	layout editor	layout editor
475	general editor	general editor
476	president of cospar	president of cospar
477	associate director	associate director
478	editor-in-chief special content	editor in chief special content
479	editor jefe/editor in chief	editor jefe/editor in chief
480	editores asociados	editores asociados
481	directora editorial	directora editorial
482	editors-in-chief/directores ejecutivos	editor in chief/directores ejecutivos
483	associate editors/directores asociados	associate editor/directores asociados
484	editor for cme	editor for cme
485	associate social media editor	associate social media editor
486	editor for case reports	editor for case reports
487	creative director: visual abstracts	creative director: visual abstracts
488	integrated health associate editors	integrated health associate editor
489	integrated health editorial board	integrated health editorial board
490	coordinating editor	coordinating editor
491	the board of governors of acta biomaterialia	the board of governors of acta biomaterialia
492	editor-in-chief emeritus	editor in chief emeritus
493	deputy editors-in-chief	deputy editor in chief
494	founding editor	founding editor
495	managing area editor	managing area editor
496	chief editors	chief editor
497	past & honorary editors	past & honorary editor
498	international editorial review board	international editorial review board
499	language editor	language editor
500	former editors-in-chief	former editor in chief
501	series editor	series editor
502	specialty editors	specialty editor
503	trainee editor	trainee editor
504	mcq editor	mcq editor
505	editor: basic science and preclinical research	editor: basic science and preclinical research
506	editor: epidemiology and prevention	editor: epidemiology and prevention
507	editor: tumour immunotherapy	editor: tumour immunotherapy
508	editors: breast cancer	editor: breast cancer
509	editors: gastrointestinal cancers	editor: gastrointestinal cancers
510	editor: genitourinary cancers	editor: genitourinary cancers
511	editor: head and neck cancer	editor: head and neck cancer
512	editor: hemato-oncology	editor: hemato oncology
513	editor: lung cancer	editor: lung cancer
514	editor: gynaecological cancers	editor: gynaecological cancers
515	editor: melanoma	editor: melanoma
516	editor: neuro-oncology	editor: neuro oncology
517	editor: paediatric oncology	editor: paediatric oncology
518	clinical oncology editorial board	clinical oncology editorial board
519	basic science and preclinical research editorial board	basic science and preclinical research editorial board
520	epidemiology and prevention editorial board	epidemiology and prevention editorial board
521	paediatric oncology editorial board	paediatric oncology editorial board
522	editor in chief / director	editor in chief / director
523	deputy editor / subdirector	deputy editor / subdirector
524	associate editor / editores asociados	associate editor / editores asociados
525	contributing editors	contributing editor
526	narrative reviews	narrative reviews
527	systematic reviews and meta-analyses	systematic reviews and meta analyses
528	editor emeriti	editor emeriti
529	managing editor (editorial office)	managing editor (editorial office)
530	book reviews editor	book reviews editor
531	emeritus editors	emeritus editor
532	section editors – general surgery	section editor – general surgery
533	section editors – bariatric and metabolic surgery	section editor – bariatric and metabolic surgery
534	section editors – cardiovascular surgery	section editor – cardiovascular surgery
535	section editors – plastic surgery	section editor – plastic surgery
536	section editors – thoracic surgery	section editor – thoracic surgery
537	section editors – endocrine surgery	section editor – endocrine surgery
538	section editors – pediatric surgery	section editor – pediatric surgery
539	section editors – neurosurgery	section editor – neurosurgery
540	section editors - hepato-biliary-pancreatic surgery	section editor hepato biliary pancreatic surgery
541	editorial board – bariatric and metabolic surgery	editorial board – bariatric and metabolic surgery
542	editorial board – cardiovascular surgery	editorial board – cardiovascular surgery
543	editorial board – colon and rectal surgery	editorial board – colon and rectal surgery
544	editorial board – endocrine surgery	editorial board – endocrine surgery
